用例名称,优先级,前置条件,步骤描述,预期结果
工作项-导出关联工作项：不同的工作项关联同一个关联工作项,P2,"1、前提步骤：工作项1，关联工作项A；工作项2，也关联工作项A（不同的工作项，都关联了同一工作项）
2、操作路径：项目A-工作项-右上角更多-导出工作项-”选择表头导出内容“弹框",#在导出弹框，勾选“导出关联工作项”，并导出,#导出结果中，有两条关联工作项A的记录，没有去重，仅关联方（工作项1和工作项2）不同
工作项-导出关联工作项：项目下的某个工作项的默认选项内容,P2,进入项目A-工作项-右上角更多按钮-导出工作项,"#在导出工作项弹框中，没有勾选“导出关联工作项”
#勾选了“导出关联工作项”，关联的工作项中含有项目属性
#勾选了“导出关联工作项”，关联的工作项中不含有项目属性","#当前工作项类型的「工作项自定义属性」和「工作项系统属性」
#默认选项为当前团队下的「工作项自定义属性」「工作项系统属性」和「项目属性」
#默认选项为当前团队下的「工作项自定义属性」「工作项系统属性」"
工作项-导出关联工作项：项目下的筛选器视图的默认选项,P2,进入项目A-筛选器-右上角更多按钮-导出工作项,"#在导出工作项弹框中，没有勾选“导出关联工作项”
#勾选了“导出关联工作项”，关联的工作项中含有项目属性
#勾选了“导出关联工作项”，关联的工作项中不含有项目属性","#当前项目下所有工作项类型的「工作项自定义属性」和「工作项系统属性」
#默认选项为当前团队下的「工作项自定义属性」「工作项系统属性」
#默认选项为当前团队下的「工作项自定义属性」「工作项系统属性」和「项目属性」"
工作项-导出关联工作项：工作台-全局筛选器视图的默认选项内容,P2,进入我的工作台-筛选器-右上角更多-导出工作项,"#在导出工作项弹框中，没有勾选“导出关联工作项”
#勾选了“导出关联工作项”","#当前团队的「工作项自定义属性」「工作项系统属性」和「项目属性」
#当前团队下的「工作项自定义属性」「工作项系统属性」和「项目属性」"
工作项-导出关联工作项：“恢复默认值”按钮默认状态,P1,进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框,#唤起导出弹框，查看“恢复默认值”按钮状态,#默认禁用状态，按钮置灰
工作项-导出关联工作项：勾选属性后，“恢复默认值”的状态变化,P2,进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框,"#当勾选任意的属性时，
#当取消勾选默认的属性后","#1、“恢复默认值”变为可点击状态
2、置灰消失，显示无底色正常的按钮
#1、“恢复默认值”变为可点击状态
2、置灰消失，显示无底色正常的按钮"
工作项-导出关联工作项：勾选“导出关联工作项”后不选择属性，“恢复默认值”的状态,P0,进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框,"#仅勾选“导出关联工作项”
#点击“恢复默认值”","#“恢复默认值”变为可点击状态
#1、按钮状态：按下时鼠标变为小手，且按下的时候底色为淡蓝色（颜色样式详见ui图）
2、”导出关联工作项“ 会取消勾选"
工作项-导出关联工作项：仅勾选“导出关联工作项”，“恢复默认值”的状态,P1,进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框,"#仅勾选“导出关联工作项”
#仅勾选“导出关联工作项”，并且选择一些属性
#点击“恢复默认值”按钮","#“恢复默认值”变为可点击状态
#“恢复默认值”变为可点击状态
#1、按钮状态：按下时鼠标变为小手，且按钮框的底色为淡蓝色（颜色样式详见ui图）
2、导出关联工作项，会取消勾选
3、关联工作项的属性，也会消失"
工作项-导出关联工作项：弹框高度增加,P2,"1、关联工作项同时有自定义属性和系统属性
2、进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框",#勾选“导出关联工作项”后,"#1、工作项自定义属性高度随之增加
2、工作项系统属性高度随之增加
3、项目属性高度随之增加
4、具体高度能根据行数灵活展示，若无新增属性，则该属性类型不增加高度"
工作项-导出关联工作项：弹框高度增加场景,P2,进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框,"#关联工作项同时有自定义属性、系统属性、项目属性
#关联工作项仅有自定义属性、系统属性，无项目属性
#关联工作项仅有系统属性，无自定义属性和项目属性
#关联工作项仅有项目属性，无自定义属性和系统属性
#系统属性为多个，多行的情况","#自定义属性、系统属性、项目属性，高度都随之增加
#1、仅自定义属性、系统属性高度增加
2、项目属性高度不变
#1、仅系统属性高度增加
2、自定义属性、项目属性高度不变
#1、仅项目属性高度增加
2、自定义属性、系统属性高度不变
#高度随行数增加"
工作项-导出关联工作项：属性为空,P2,"1、进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框
2、存在自定义属性+关联的自定义属性，都为空","#勾选“导出关联工作项”，查看自定义属性显示
#关联工作项的自定义不为空时，点击“导出关联工作项”","#显示“没有自定义属性”
#显示其自定义属性"
工作项-导出关联工作项：新增属性为多行，弹框高度增加,P2,进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框,"#自定义属性为多个，多行的情况
#系统属性为多个，多行的情况
#项目属性为多个，多行的情况","#高度随行数增加
#高度随行数增加
#高度随行数增加"
工作项-导出关联工作项：检查弹框功能,P2,进入项目A-筛选器-右上角更多按钮-导出工作项-“选择表头导出内容”弹框,"#检查提示文案
#检查存在“导出关联工作项”按钮
#检查“可选属性”、“已选属性”搜索功能
#检查“可选属性”共x个、“已选属性”共x个
#检查属性类型
#“确认”按钮
#“取消”按钮和关闭弹框","#提示文案为：“用户可自定义需要导出的属性和属性顺序，导出具有导出权限的工作项。系统将以 .CSV 文件格式形式进行导出。
导出的工时单位为小时。”
#存在“导出关联工作项”按钮
#模糊搜索，可以搜到结果
#选择和取消选择属性，个数能增加、减少
#包含“工作项自定义属性”、“工作项系统属性”
#关闭弹框，并下载csv文件
#关闭弹框，不下载csv文件"
工作项-导出关联工作项：检查导出关联工作项Tooltips,P2,进入项目A-工作项-更多按钮-导出工作项-“选择表头导出内容”弹框,"#鼠标悬停在“导出关联工作项”后面问号图标上
#检查Tooltips内容","#出现Tooltips
#“导出具有导出权限的关联工作项，并导出对应「关联关系」与「关联方」。
关联关系：指关联工作项在对应关联方中的关联关系描述。
关联方：指关联工作项所对应的工作项的标题。”"
工作项-导出关联工作项：勾选“导出关联工作项”，检查重复属性去重,P1,"1、该工作项的属性和关联的工作项属性，有重复的属性
2、重复的自定义属性为：逾期
3、重复的系统属性为：优先级
4、重复的项目属性为：成员数量
5、目的：分别检查3个入口的场景","#在工作项组件-导出弹框中，勾选“导出关联工作项”
#在项目下的筛选器视图-全部工作项-更多-导出弹框中，勾选“导出关联工作项”
#在我的工作台-筛选器-全部工作项-更多-导出弹框中，勾选“导出关联工作项”","#仅显示一个“逾期”和一个“优先级”，不会重复显示属性
#仅显示一个“逾期”和一个“优先级”，不会重复显示属性
#仅显示一个“逾期”、“优先级”、“成员数量”，不会重复显示属性"
